TAG,ATTRIBUTE,CONCUR,COUNTER,DENY,ENDORSE,ENTERTAIN,JUSTIFY,MONOGLOSS,PRONOUNCE
advmod-nsubjpass-auxpass-advcl,0,0,0,0,0,0,0,1,0
ccomp-punct-punct-nsubjpass-punct-auxpass-prep-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-dobj-prep-punct,0,0,0,0,0,0,0,1,0
punct-prep-nsubjpass-auxpass-oprd-punct,0,0,0,0,0,0,0,1,0
advcl-punct-nsubjpass-auxpass-advmod-prep-prep-punct-advcl-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-prep-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-ccomp-punct,1,0,0,0,0,0,0,1,0
nsubj-punct-prep-attr-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advcl-punct,0,0,0,0,0,0,0,2,0
nsubj-advmod-acomp-punct,0,0,0,0,0,0,0,2,0
agent,2,0,0,0,0,0,0,1,0
nsubjpass-auxpass-advmod-agent-prep-punct-punct,0,0,0,0,0,0,0,1,0
advmod-prep-punct-nsubj-aux-dobj-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-aux-dobj-prep-punct-npadvmod-punct,0,0,0,0,0,0,0,1,0
acomp-nsubj,0,0,0,0,0,0,0,1,0
ccomp-punct-punct-prep-punct-nsubjpass-auxpass-punct,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-xcomp-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-prep-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubjpass-auxpass-xcomp-punct,0,0,0,0,0,0,0,1,0
advmod-nsubj-acomp-punct,0,0,0,0,0,0,0,1,0
punct-nsubj-dobj-cc-conj-punct-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-dobj-cc-conj-conj-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-punct-prep-punct-auxpass-agent-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-attr-npadvmod-punct-npadvmod-npadvmod-punct-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-dobj-prep-cc-conj,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-xcomp-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubj-acomp-advcl-punct,0,0,0,0,0,0,0,1,0
dobj-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-xcomp,0,0,0,0,0,4,0,1,0
ccomp-punct-advmod-punct-prep-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-prep-prep-punct,0,0,0,0,0,0,0,1,0
advmod-dobj-punct,0,0,0,0,0,0,0,1,0
ccomp-nsubj-ccomp-punct-ccomp-punct-dobj-punct-punct,0,0,0,0,0,0,0,1,0
prep-nsubj-dobj-punct-cc-conj,0,0,0,0,0,0,0,1,0
advcl-punct-nsubj-dobj-prep-cc-conj,0,0,0,0,0,0,0,1,0
det-amod-relcl-punct,0,0,0,0,0,0,0,1,0
ccomp-punct-advmod-prep-punct-nsubj-ccomp-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubjpass-auxpass-cc-conj-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass,0,0,0,0,0,0,0,2,0
advcl-nsubj-prt-dobj-cc-conj-punct-punct-punct,0,0,0,0,0,0,0,1,0
advcl-punct-amod-nsubj-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-punct-punct,0,0,0,0,0,0,0,3,0
advmod-nsubj-xcomp-punct-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-ccomp,5,0,0,0,2,7,0,1,0
ccomp-punct-nsubj-aux-ccomp-advcl,0,0,0,0,0,0,0,1,0
nsubj-aux-dobj-punct-prep-punct,0,0,0,0,0,0,0,1,0
nsubj-punct-advmod-punct-dobj-dative-punct-advcl-punct,0,0,0,0,0,0,0,1,0
nsubj-dobj-punct-advcl-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-auxpass-oprd-punct,0,0,0,0,0,0,0,1,0
advmod-nsubjpass-aux-auxpass-cc-conj-punct,0,0,0,0,0,0,0,1,0
ccomp-punct-nsubj-advmod-dobj-cc-conj-punct,0,0,0,0,0,0,0,1,0
nsubjpass-auxpass-dative,0,0,0,0,0,0,0,1,0
ccomp-punct-ccomp-punct-nsubj-attr-ccomp-punct,0,0,0,0,0,0,0,1,0
expl-attr-punct-advmod-punct-advcl-punct,0,0,0,0,0,0,0,1,0
advcl-punct-dep-dep-dep-nsubj-aux-dobj-prep-punct,0,0,0,0,0,0,0,1,0
nsubjpass-aux-advmod-auxpass-punct,0,0,0,0,0,0,0,1,0
expl-attr-cc-conj,0,0,0,0,0,0,0,1,0
nsubj-aux-advmod-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-advmod-dobj-punct-cc-conj,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-prt-xcomp-punct,0,0,0,0,0,0,0,1,0
aux-prep-acomp-punct,0,0,0,0,0,0,0,1,0
advmod-punct-nsubj-acomp-prep-punct,0,0,0,0,0,0,0,1,0
prep-punct-nsubj-attr-xcomp-punct-conj-conj-punct-conj,0,0,0,0,0,0,0,1,0
nsubj-prt-dobj-punct,0,0,0,0,0,0,0,1,0
nsubj-xcomp-cc-conj,0,0,0,0,0,0,0,1,0
